field_type,technology,count
Backend & High-Load Services,C++,16
Backend & High-Load Services,PostgreSQL,9
Backend & High-Load Services,Docker,8
Backend & High-Load Services,Git,8
Backend & High-Load Services,Python,8
Backend & High-Load Services,Linux,7
Backend & High-Load Services,Kubernetes,6
Backend & High-Load Services,SQL,6
Backend & High-Load Services,Go,5
Backend & High-Load Services,Prometheus,4
Backend & High-Load Services,CI/CD,3
Backend & High-Load Services,CMake,3
Backend & High-Load Services,Grafana,3
Backend & High-Load Services,Java,3
Backend & High-Load Services,JavaScript,3
Backend & High-Load Services,REST,3
Backend & High-Load Services,TCP/IP,3
Backend & High-Load Services,gRPC,3
Backend & High-Load Services,Allure,2
Backend & High-Load Services,C,2
Backend & High-Load Services,C#,2
Backend & High-Load Services,C/C++,2
Backend & High-Load Services,ClickHouse,2
Backend & High-Load Services,Kafka,2
Backend & High-Load Services,Microservices,2
Backend & High-Load Services,Oracle,2
Backend & High-Load Services,PHP,2
Backend & High-Load Services,Postman,2
Backend & High-Load Services,REST API,2
Backend & High-Load Services,RabbitMQ,2
Backend & High-Load Services,React,2
Backend & High-Load Services,Redis,2
Backend & High-Load Services,SOAP,2
Backend & High-Load Services,STL,2
Backend & High-Load Services,Selenium,2
Backend & High-Load Services,TestRail,2
Backend & High-Load Services,.NET,1
Backend & High-Load Services,API,1
Backend & High-Load Services,Active Directory,1
Backend & High-Load Services,Agile,1
Backend & High-Load Services,Ansible,1
Backend & High-Load Services,Apache Ignite,1
Backend & High-Load Services,Apache Spark,1
Backend & High-Load Services,Appium,1
Backend & High-Load Services,BPMN,1
Backend & High-Load Services,Backend,1
Backend & High-Load Services,Bash,1
Backend & High-Load Services,Bazel,1
Backend & High-Load Services,Boost.Asio,1
Backend & High-Load Services,Boost.Beast,1
Backend & High-Load Services,C++ (преимущество),1
Backend & High-Load Services,C++17,1
Backend & High-Load Services,C++20/23,1
Backend & High-Load Services,CGO,1
Backend & High-Load Services,CI,1
Backend & High-Load Services,Catch2,1
Backend & High-Load Services,Clang,1
Backend & High-Load Services,Cypress,1
Backend & High-Load Services,Databases,1
Backend & High-Load Services,Delphi,1
Backend & High-Load Services,DevOps / CI/CD,1
Backend & High-Load Services,Elasticsearch,1
Backend & High-Load Services,Electron,1
Backend & High-Load Services,FastAPI,1
Backend & High-Load Services,Flink,1
Backend & High-Load Services,Frontend,1
Backend & High-Load Services,GDB,1
Backend & High-Load Services,GNU autotools,1
Backend & High-Load Services,GNU make,1
Backend & High-Load Services,GTest,1
Backend & High-Load Services,Gatling,1
Backend & High-Load Services,GitLab,1
Backend & High-Load Services,GitLab CI,1
Backend & High-Load Services,GitLab CI / CI/CD,1
Backend & High-Load Services,Go (1.20+),1
Backend & High-Load Services,Golang,1
Backend & High-Load Services,Google Benchmark,1
Backend & High-Load Services,HTTP/2,1
Backend & High-Load Services,HTTP/HTTPS,1
Backend & High-Load Services,Helm,1
Backend & High-Load Services,Hive,1
Backend & High-Load Services,IntelliJ IDEA,1
Backend & High-Load Services,Istio / Service Mesh,1
Backend & High-Load Services,JDBC/ODBC,1
Backend & High-Load Services,JMeter,1
Backend & High-Load Services,JSON,1
Backend & High-Load Services,JavaScript (Vue.js),1
Backend & High-Load Services,JavaScript (опционально),1
Backend & High-Load Services,Jira,1
Backend & High-Load Services,Keycloak,1
Backend & High-Load Services,Linux (Astra Linux),1
Backend & High-Load Services,Locust,1
Backend & High-Load Services,MPP / распределённые системы,1
Backend & High-Load Services,MS Excel,1
Backend & High-Load Services,MS SQL,1
Backend & High-Load Services,Message brokers,1
Backend & High-Load Services,MinIO,1
Backend & High-Load Services,MongoDB,1
Backend & High-Load Services,Multithreading,1
Backend & High-Load Services,Nginx,1
Backend & High-Load Services,NoSQL,1
Backend & High-Load Services,ORC,1
Backend & High-Load Services,PL/SQL,1
Backend & High-Load Services,Parquet,1
Backend & High-Load Services,Playwright,1
Backend & High-Load Services,Profiling/Performance optimization,1
Backend & High-Load Services,Protocol Buffers (protobuf),1
Backend & High-Load Services,Pytest,1
Backend & High-Load Services,QUIC,1
Backend & High-Load Services,RAD Server,1
Backend & High-Load Services,Rust,1
Backend & High-Load Services,S3,1
Backend & High-Load Services,SPDK,1
Backend & High-Load Services,Scala,1
Backend & High-Load Services,Sphinxsearch (MySQL),1
Backend & High-Load Services,TCP,1
Backend & High-Load Services,TLS,1
Backend & High-Load Services,TLS / криптография,1
Backend & High-Load Services,Tarantool,1
Backend & High-Load Services,Team management,1
Backend & High-Load Services,TypeScript,1
Backend & High-Load Services,UDP,1
Backend & High-Load Services,UML,1
Backend & High-Load Services,Ubuntu 22/24 LTS,1
Backend & High-Load Services,Unit/Integration testing,1
Backend & High-Load Services,Valgrind,1
Backend & High-Load Services,VictoriaMetrics,1
Backend & High-Load Services,WebRTC,1
Backend & High-Load Services,XML,1
Backend & High-Load Services,Zabbix,1
Backend & High-Load Services,cryptography,1
Backend & High-Load Services,eBPF,1
Backend & High-Load Services,fasthttp,1
Backend & High-Load Services,fmt,1
Backend & High-Load Services,gTest,1
Backend & High-Load Services,netfilter,1
Backend & High-Load Services,perf,1
Backend & High-Load Services,sockets,1
Backend & High-Load Services,unit-тесты,1
Backend & High-Load Services,Базы данных/СУБД,1
Backend & High-Load Services,Веб-программирование,1
Backend & High-Load Services,возможное: Rust,1
Backend & High-Load Services,микросервисы,1
Backend & High-Load Services,сетевые протоколы,1
Backend & High-Load Services,хранимые процедуры,1
Desktop Applications & CAD,C++,10
Desktop Applications & CAD,Linux,8
Desktop Applications & CAD,Git,5
Desktop Applications & CAD,Windows,5
Desktop Applications & CAD,CMake,4
Desktop Applications & CAD,ООП,4
Desktop Applications & CAD,Boost,3
Desktop Applications & CAD,C#,3
Desktop Applications & CAD,Qt,3
Desktop Applications & CAD,SQL,3
Desktop Applications & CAD,C++17,2
Desktop Applications & CAD,PostgreSQL,2
Desktop Applications & CAD,QML,2
Desktop Applications & CAD,SCRUM,2
Desktop Applications & CAD,STL,2
Desktop Applications & CAD,qmake,2
Desktop Applications & CAD,.NET 6,1
Desktop Applications & CAD,1С:Бухгалтерия государственного учреждения,1
Desktop Applications & CAD,1С:Документооборот,1
Desktop Applications & CAD,1С:Зарплата и управление персоналом,1
Desktop Applications & CAD,1С:Предприятие 8,1
Desktop Applications & CAD,"ARM/STM32, АЦП (преимущество)",1
Desktop Applications & CAD,AutoCAD,1
Desktop Applications & CAD,C++ (C++11+),1
Desktop Applications & CAD,C++ (C++11/14/17/20),1
Desktop Applications & CAD,C++ (C++14/17),1
Desktop Applications & CAD,C/C++,1
Desktop Applications & CAD,CAD,1
Desktop Applications & CAD,CI/CD,1
Desktop Applications & CAD,DirectX,1
Desktop Applications & CAD,Docker,1
Desktop Applications & CAD,Doxygen,1
Desktop Applications & CAD,GTest,1
Desktop Applications & CAD,GitLab,1
Desktop Applications & CAD,GitLab CI,1
Desktop Applications & CAD,HTTP/REST,1
